Epoch,Training_Accuracy,Validation_Accuracy,Training_Loss,Validation_Loss
1,84.51,53.33,0.3798,1.8736
2,91.93,54.0,0.2053,2.4319
3,93.4,56.0,0.1808,1.8049
4,93.72,50.33,0.1712,1.4251
5,94.12,55.0,0.1644,1.6416
6,94.79,54.33,0.1404,1.6375
7,94.88,52.67,0.136,1.5398
8,95.46,57.0,0.1252,1.7094
9,96.11,55.0,0.1066,1.6835
10,96.58,57.33,0.0933,1.7544
11,97.21,56.33,0.0787,1.6709
12,97.23,53.33,0.0758,1.5777
13,97.04,53.33,0.0793,1.96
14,97.39,55.67,0.075,1.773
16,98.46,51.0,0.0408,2.8128
17,98.65,51.33,0.0386,2.1058
18,98.74,51.33,0.0376,2.0733
19,98.54,50.33,0.0417,2.166
20,98.61,50.33,0.0463,2.6438
21,98.7,51.33,0.0412,2.1853
22,98.53,51.0,0.042,2.3933
23,98.44,52.67,0.0422,1.9505
24,98.58,48.33,0.041,2.0793
25,98.82,51.0,0.0337,1.9424
26,98.86,50.0,0.0357,2.1414
27,98.56,50.33,0.0384,1.9275
28,98.54,52.33,0.0378,2.9803
29,98.89,53.0,0.0351,2.8862
30,98.86,49.0,0.0383,2.1277
31,98.96,50.67,0.0356,2.4648
32,98.68,49.33,0.0409,1.956
33,98.54,51.67,0.0372,2.5801
34,98.54,50.67,0.0432,2.7658
35,98.65,51.33,0.0399,2.6904
36,98.81,53.0,0.0379,2.5743
37,98.74,48.67,0.0352,2.0979
38,98.67,52.0,0.0355,2.3746
39,98.74,49.67,0.0363,2.0459
40,98.82,50.33,0.0359,2.0205
41,98.67,49.67,0.0393,1.991
42,98.56,52.33,0.0393,1.8728
43,98.77,54.0,0.0491,2.0687
44,98.75,52.33,0.038,1.8845
45,98.67,51.67,0.0383,1.9949
46,98.54,50.67,0.0388,2.4194
47,98.68,50.67,0.0416,2.0066
48,98.63,50.67,0.0383,2.5919
49,98.74,51.0,0.0372,2.7171
50,98.84,51.33,0.0344,2.5417
